"scenario","method","efficiency","raw_imbalance","imbalance","targeted_group_demo","delta_policy"
"scenario_1_high_corr_tau_z","BEAT",53.6565974390259,0.024,6.12863150202206,0.526666666666667,0
"scenario_2_low_corr_tau_z","BEAT",63.0732876134685,0.0146666666666667,2.85169047384031,0.516,0
"scenario_3_low_corr_tau_z_x2_same_sign","BEAT",34.3335044865189,0.0153333333333333,3.64666213306132,0.513333333333333,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BEAT",46.0171389069873,0.0313333333333334,20.8757756702962,0.488,0
"scenario_1_high_corr_tau_z","BTGQ",61.3100192681284,0.232,57.6484402578823,0.630666666666667,0
"scenario_2_low_corr_tau_z","BTGQ",56.0779117374243,0.024,4.32508738697664,0.521333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","BTGQ",36.5171642496089,0.11,27.4056443386603,0.562666666666667,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BTGQ",52.7970181020446,0.212666666666667,130.994196062689,0.397333333333333,0
"scenario_1_high_corr_tau_z","BTGQ_VALID",52.7881620891482,0.274666666666667,67.6306659482625,0.652,0
"scenario_2_low_corr_tau_z","BTGQ_VALID",66.3133593115016,0.0386666666666667,6.69045033865881,0.531333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","BTGQ_VALID",44.5160040648554,0.103333333333333,25.0580868185424,0.559333333333333,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","BTGQ_VALID",47.9979600964864,0.207333333333333,125.575584993393,0.4,0
"scenario_1_high_corr_tau_z","CF-FD",68.3728511880604,0.409333333333333,100,0.719333333333333,29.8
"scenario_2_low_corr_tau_z","CF-FD",84.1593879610979,0.526666666666667,100,0.775333333333333,50.9333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","CF-FD",76.784142477641,0.43,100,0.722666666666667,12
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-FD",69.0144920257484,0.175333333333333,100,0.416,11.1333333333333
"scenario_1_high_corr_tau_z","CF-NP",71.3418140797964,0.314666666666667,76.2936291176634,0.672,0
"scenario_2_low_corr_tau_z","CF-NP",64.7288824328341,0.0466666666666667,8.11151690630518,0.535333333333333,0
"scenario_3_low_corr_tau_z_x2_same_sign","CF-NP",76.2395727709112,0.306,73.674430465828,0.660666666666667,0
"scenario_4_low_corr_tau_z_x2_opposite_sign","CF-NP",63.1450321393519,0.264666666666667,157.556199508254,0.371333333333333,0
"scenario_1_high_corr_tau_z","Debiased",50.3904313449109,0.0186666666666667,4.01687011129072,0.524,6.2
"scenario_2_low_corr_tau_z","Debiased",58.9651749297926,0.0186666666666667,3.38431625076577,0.519333333333333,7.53333333333333
"scenario_3_low_corr_tau_z_x2_same_sign","Debiased",61.9644028526597,0.03,7.46939816388984,0.522666666666667,27.1333333333333
"scenario_4_low_corr_tau_z_x2_opposite_sign","Debiased",75.1288697611919,0.0233333333333334,15.4295666281968,0.492,26.3333333333333
